Date,Open,High,Low,Close,Adj Close,Volume
2024-02-21,408.260009765625,409.4800109863281,406.70001220703125,409.25,409.25,2717600
2024-02-22,411.29998779296875,416.260009765625,411.0,415.1600036621094,415.1600036621094,3687600
2024-02-23,417.67999267578125,420.55999755859375,416.5199890136719,417.2200012207031,417.2200012207031,4015600
2024-02-26,422.0,430.0,408.8500061035156,409.1400146484375,409.1400146484375,7432300
2024-02-27,409.2099914550781,409.9599914550781,401.7099914550781,408.9100036621094,408.9100036621094,4609100
2024-02-28,408.5,414.6700134277344,407.7099914550781,412.1400146484375,412.1400146484375,4067400
2024-02-29,413.1000061035156,413.7900085449219,408.3800048828125,409.3999938964844,409.3999938964844,4845200
2024-03-01,409.4800109863281,410.3900146484375,405.45001220703125,407.1099853515625,407.1099853515625,3282100
2024-03-04,405.0,405.95001220703125,401.42999267578125,403.3900146484375,403.3900146484375,4179400
2024-03-05,402.54998779296875,403.3299865722656,398.7799987792969,400.739990234375,400.739990234375,4711700
2024-03-06,402.17999267578125,407.44000244140625,401.70001220703125,403.9599914550781,403.9599914550781,3839100
2024-03-07,406.1099853515625,406.3999938964844,399.57000732421875,402.3900146484375,402.3900146484375,4181300
2024-03-08,401.0799865722656,403.3599853515625,400.010009765625,403.1499938964844,403.1499938964844,3410600
2024-03-11,403.29998779296875,405.010009765625,402.739990234375,404.760009765625,404.760009765625,2431700
2024-03-12,406.7799987792969,407.20001220703125,404.1000061035156,404.9800109863281,404.9800109863281,2616700
2024-03-13,405.29998779296875,409.0,404.1499938964844,408.1300048828125,408.1300048828125,3584600
2024-03-14,409.0799865722656,409.0799865722656,403.3399963378906,406.7300109863281,406.7300109863281,3734700
2024-03-15,404.2699890136719,408.4599914550781,402.5,408.1300048828125,408.1300048828125,7548800
2024-03-18,408.70001220703125,410.6000061035156,406.0,408.4100036621094,408.4100036621094,3775700
2024-03-19,409.0799865722656,412.19000244140625,408.0899963378906,411.760009765625,411.760009765625,2795800
2024-03-20,412.0199890136719,416.30999755859375,411.54998779296875,416.1099853515625,416.1099853515625,2932900
2024-03-21,416.70001220703125,417.8299865722656,413.510009765625,413.7799987792969,413.7799987792969,3401600
2024-03-22,413.0,414.3500061035156,411.3999938964844,411.6000061035156,411.6000061035156,2999600
2024-03-25,410.6700134277344,411.07000732421875,408.9200134277344,409.9200134277344,409.9200134277344,2804200
2024-03-26,410.0,412.6600036621094,408.6000061035156,411.57000732421875,411.57000732421875,2935100
2024-03-27,413.6499938964844,417.2099914550781,413.3999938964844,416.92999267578125,416.92999267578125,2926000
2024-03-28,417.79998779296875,421.44000244140625,415.8500061035156,420.5199890136719,420.5199890136719,4377400
2024-04-01,421.489990234375,421.6600036621094,417.80999755859375,420.20001220703125,420.20001220703125,2716100
2024-04-02,419.75,421.010009765625,418.0899963378906,418.9200134277344,418.9200134277344,3174900
2024-04-03,419.0,421.9100036621094,418.5199890136719,420.239990234375,420.239990234375,2740800
2024-04-04,423.8399963378906,424.5199890136719,414.54998779296875,415.32000732421875,415.32000732421875,3800600
2024-04-05,416.55999755859375,419.2699890136719,415.4100036621094,418.6199951171875,418.6199951171875,2738300
2024-04-08,418.32000732421875,418.57000732421875,415.6300048828125,415.9700012207031,415.9700012207031,2485700
2024-04-09,416.5799865722656,417.32000732421875,412.1199951171875,414.69000244140625,414.69000244140625,2233100
2024-04-10,412.739990234375,413.55999755859375,407.5299987792969,409.1099853515625,409.1099853515625,3121300
2024-04-11,408.3999938964844,411.1499938964844,404.04998779296875,407.6099853515625,407.6099853515625,2889900
2024-04-12,405.0,407.2099914550781,401.44000244140625,403.260009765625,403.260009765625,3467300
2024-04-15,406.989990234375,409.05999755859375,399.8599853515625,400.260009765625,400.260009765625,3002300
2024-04-16,400.9700012207031,401.25,396.5,396.9200134277344,396.9200134277344,3435500
2024-04-17,398.94000244140625,399.2799987792969,395.6600036621094,397.739990234375,397.739990234375,2465600
2024-04-18,399.70001220703125,402.989990234375,399.1000061035156,399.8900146484375,399.8900146484375,2669500
2024-04-19,401.0400085449219,405.57000732421875,400.1700134277344,405.0799865722656,405.0799865722656,3996100
2024-04-22,406.8399963378906,411.3500061035156,406.25,408.7799987792969,408.7799987792969,2980600
2024-04-23,410.25,410.7200012207031,405.6400146484375,408.739990234375,408.739990234375,2287600
2024-04-24,407.1000061035156,407.6199951171875,403.8800048828125,405.95001220703125,405.95001220703125,2506900
2024-04-25,404.8500061035156,406.1400146484375,400.3500061035156,404.9100036621094,404.9100036621094,2670200
2024-04-26,403.9200134277344,404.75,401.4100036621094,402.1000061035156,402.1000061035156,3023100
2024-04-29,402.6600036621094,404.8699951171875,400.0799865722656,400.9599914550781,400.9599914550781,2363600
2024-04-30,400.5799865722656,400.6000061035156,396.3699951171875,396.7300109863281,396.7300109863281,3070500
2024-05-01,396.6099853515625,402.32000732421875,396.3500061035156,398.5799865722656,398.5799865722656,2605000
2024-05-02,401.0,401.55999755859375,397.8800048828125,400.6000061035156,400.6000061035156,2672200
2024-05-03,404.5,404.5,399.2099914550781,400.8699951171875,400.8699951171875,4119100
2024-05-06,403.9599914550781,405.1499938964844,399.260009765625,404.9200134277344,404.9200134277344,3918900
2024-05-07,406.92999267578125,407.260009765625,403.6099853515625,406.1400146484375,406.1400146484375,3084200
2024-05-08,406.4700012207031,407.2300109863281,403.75,406.3699951171875,406.3699951171875,2398100
2024-05-09,406.25,408.8699951171875,405.4599914550781,408.82000732421875,408.82000732421875,2356600
2024-05-10,409.8500061035156,412.3800048828125,409.20001220703125,412.04998779296875,412.04998779296875,3084500
2024-05-13,414.05999755859375,414.29998779296875,410.19000244140625,411.2200012207031,411.2200012207031,2710300
2024-05-14,410.45001220703125,411.55999755859375,408.1700134277344,410.239990234375,410.239990234375,2672400
2024-05-15,410.510009765625,413.3999938964844,410.1000061035156,412.760009765625,412.760009765625,2854600
2024-05-16,413.79998779296875,416.3399963378906,412.9100036621094,413.1199951171875,413.1199951171875,3549700
2024-05-17,413.9800109863281,417.3299865722656,413.70001220703125,416.94000244140625,416.94000244140625,2988700
2024-05-20,417.0400085449219,417.2799987792969,412.6199951171875,413.0,413.0,3287900
2024-05-21,413.5899963378906,415.70001220703125,412.55999755859375,414.3699951171875,414.3699951171875,2731900
2024-05-22,414.95001220703125,417.260009765625,412.9599914550781,413.989990234375,413.989990234375,2664400
2024-05-23,413.25,413.25,404.8699951171875,405.8800048828125,405.8800048828125,3392300
2024-05-24,406.8999938964844,407.9599914550781,405.5,407.4100036621094,407.4100036621094,2067700
2024-05-28,408.239990234375,408.239990234375,401.8699951171875,403.8999938964844,403.8999938964844,3315400
2024-05-29,403.0,405.8699951171875,401.5799865722656,404.0899963378906,404.0899963378906,3426800
2024-05-30,403.7699890136719,409.0400085449219,402.7699890136719,408.6099853515625,408.6099853515625,2905300
2024-05-31,408.0899963378906,415.3999938964844,406.8800048828125,414.3999938964844,414.3999938964844,5190000
2024-06-03,414.8900146484375,416.7200012207031,408.7799987792969,414.7900085449219,414.7900085449219,4903000
2024-06-04,414.8500061035156,415.8900146484375,406.44000244140625,409.5299987792969,409.5299987792969,4154800
2024-06-05,410.1000061035156,410.2799987792969,405.7699890136719,409.8500061035156,409.8500061035156,2634400
2024-06-06,410.4200134277344,411.239990234375,407.3800048828125,411.0799865722656,411.0799865722656,3438900
2024-06-07,411.2799987792969,415.8800048828125,409.8500061035156,413.7200012207031,413.7200012207031,2942100
2024-06-10,413.3399963378906,413.94000244140625,409.2699890136719,410.80999755859375,410.80999755859375,2667300
2024-06-11,408.8800048828125,408.9100036621094,406.1099853515625,408.5,408.5,3605900
2024-06-12,411.0899963378906,411.8900146484375,407.1600036621094,408.7699890136719,408.7699890136719,3551900
2024-06-13,407.6300048828125,408.0,403.57000732421875,405.9200134277344,405.9200134277344,4563300
2024-06-14,404.8999938964844,406.3399963378906,403.3299865722656,405.5400085449219,405.5400085449219,2768600
2024-06-17,405.17999267578125,407.82000732421875,403.54998779296875,407.32000732421875,407.32000732421875,3406500
2024-06-18,406.75,408.5,405.2799987792969,407.95001220703125,407.95001220703125,4005300
2024-06-20,407.25,411.0,404.04998779296875,409.1499938964844,409.1499938964844,4844700
2024-06-21,409.82000732421875,410.4700012207031,407.67999267578125,409.6199951171875,409.6199951171875,9009400
2024-06-24,410.70001220703125,417.0,410.0,413.9800109863281,413.9800109863281,4933300
2024-06-25,414.0,414.25,409.6199951171875,410.9700012207031,410.9700012207031,3879800
2024-06-26,410.0199890136719,410.67999267578125,407.25,410.260009765625,410.260009765625,3334300
2024-06-27,410.260009765625,410.260009765625,406.3399963378906,407.95001220703125,407.95001220703125,3218600
2024-06-28,408.25,410.04998779296875,405.7900085449219,406.79998779296875,406.79998779296875,6819800
2024-07-01,408.0899963378906,409.6700134277344,403.82000732421875,405.19000244140625,405.19000244140625,2974100
2024-07-02,404.0199890136719,407.3900146484375,403.9200134277344,407.1000061035156,407.1000061035156,3220900
2024-07-03,407.1600036621094,407.1600036621094,404.2200012207031,405.7699890136719,405.7699890136719,1970300
2024-07-05,406.239990234375,411.3999938964844,405.0299987792969,411.1700134277344,411.1700134277344,5149200
2024-07-08,411.2699890136719,413.7900085449219,408.0,409.0799865722656,409.0799865722656,3559500
2024-07-09,409.4200134277344,413.7099914550781,408.6400146484375,410.5199890136719,410.5199890136719,2989700
2024-07-10,410.80999755859375,413.9599914550781,409.3999938964844,413.7900085449219,413.7900085449219,3791800
2024-07-11,413.989990234375,419.20001220703125,412.0,418.7799987792969,418.7799987792969,4065200
2024-07-12,420.2300109863281,427.45001220703125,419.70001220703125,424.44000244140625,424.44000244140625,4834600
2024-07-15,425.5899963378906,434.7099914550781,425.29998779296875,434.4200134277344,434.4200134277344,4594900
2024-07-16,437.3999938964844,439.04998779296875,434.0199890136719,438.8999938964844,438.8999938964844,4293700
2024-07-17,437.8500061035156,446.1499938964844,437.8399963378906,445.6099853515625,445.6099853515625,4776600
2024-07-18,445.6199951171875,449.25,439.57000732421875,441.82000732421875,441.82000732421875,4638300
2024-07-19,442.6700134277344,442.79998779296875,433.3500061035156,434.4700012207031,434.4700012207031,4158800
2024-07-22,435.04998779296875,438.1099853515625,432.1199951171875,435.9800109863281,435.9800109863281,2995700
2024-07-23,437.3399963378906,437.9200134277344,433.4700012207031,434.010009765625,434.010009765625,2393000
2024-07-24,433.989990234375,435.4100036621094,430.7300109863281,432.79998779296875,432.79998779296875,3143700
2024-07-25,431.6000061035156,439.6300048828125,431.6000061035156,433.2900085449219,433.2900085449219,3334300
2024-07-26,435.6600036621094,439.0,434.1000061035156,437.6600036621094,437.6600036621094,2717600
2024-07-29,438.010009765625,439.44000244140625,435.489990234375,438.30999755859375,438.30999755859375,2620000
2024-07-30,439.510009765625,443.8900146484375,439.1400146484375,441.260009765625,441.260009765625,3736400
2024-07-31,439.8500061035156,440.8500061035156,437.739990234375,438.5,438.5,3798800
2024-08-01,439.6700134277344,440.6099853515625,430.95001220703125,431.80999755859375,431.80999755859375,3892300
2024-08-02,429.7699890136719,436.25,423.489990234375,428.3599853515625,428.3599853515625,4251500
2024-08-05,413.42999267578125,417.82000732421875,406.1099853515625,413.7200012207031,413.7200012207031,7695100
2024-08-06,416.4100036621094,427.4599914550781,415.1000061035156,422.1400146484375,422.1400146484375,5138700
2024-08-07,426.07000732421875,433.1700134277344,425.6000061035156,427.0199890136719,427.0199890136719,4745600
2024-08-08,429.239990234375,432.260009765625,427.6000061035156,431.5400085449219,431.5400085449219,3150000
2024-08-09,431.9200134277344,434.75,430.2099914550781,431.6700134277344,431.6700134277344,2602600
2024-08-12,434.1600036621094,434.1600036621094,429.010009765625,430.3900146484375,430.3900146484375,2376000
2024-08-13,431.8299865722656,432.80999755859375,425.8999938964844,432.4100036621094,432.4100036621094,3472000
2024-08-14,433.0,438.9800109863281,431.7099914550781,438.4700012207031,438.4700012207031,2860200
2024-08-15,441.79998779296875,442.5899963378906,438.7200012207031,440.8399963378906,440.8399963378906,3226400
2024-08-16,441.54998779296875,445.20001220703125,440.45001220703125,444.510009765625,444.510009765625,3343100
